Player,Bref_ID,Sref_Cbb_ID
Bradley Beal,bealbr01,bradley-beal-1
Al Beard,beardal01,
Butch Beard,beardbu01,
Ralph Beard,beardra01,
Charles Beasley,beaslch01,
Jerome Beasley,beaslje01,
John Beasley,beasljo01,
Malik Beasley,beaslma01,malik-beasley-1
Michael Beasley,beaslmi01,michael-beasley-1
Zelmo Beaty,beatyze01,
Rodrigue Beaubois,beaubro01,
Byron Beck,beckby01,
Corey Beck,beckco01,corey-beck-1
Ernie Beck,becker01,
Arthur Becker,beckear01,
Moe Becker,beckemo01,
Bob Bedell,bedelbo01,
William Bedford,bedfowi01,william-bedford-1
Hank Beenders,beendha01,
Ron Behagen,behagro01,ron-behagen-1
Elmer Behnke,behnkel01,
Marco Belinelli,belinma01,
Charlie Bell,bellch01,charlie-bell-1
Dennis Bell,bellde01,
Raja Bell,bellra01,
Troy Bell,belltr01,troy-bell-1
Whitey Bell,bellwh01,
Walt Bellamy,bellawa01,walt-bellamy-1
DeAndre' Bembry,bembrde01,deandre-bembry-1
Irv Bemoras,bemorir01,
Leon Benbow,benbole01,
Dragan Bender,bendedr01,
Jonathan Bender,bendejo01,
Jerrelle Benimon,benimje01,jerrelle-benimon-1
Benoit Benjamin,benjabe01,benoit-benjamin-1
Corey Benjamin,benjaco01,corey-benjamin-1
Anthony Bennett,bennean01,anthony-bennett-1
Elmer Bennett,benneel01,elmer-bennett-1
Mario Bennett,bennema01,mario-bennett-1
Mel Bennett,benneme01,mel-bennett-1
Spider Bennett,bennesp01,
Tony Bennett,benneto01,
Winston Bennett,bennewi01,winston-bennett-1
David Benoit,benoida01,david-benoit-1
Keith Benson,bensoke02,keith-benson-1
Kent Benson,bensoke01,kent-benson-1
Ben Bentil,bentibe01,ben-bentil-1
Gene Berce,bercege01,
Gary Bergen,bergega01,
Larry Bergh,berghla01,
Ricky Berry,berryri01,
Walter Berry,berrywa01,walter-berry-1
Davis Bertans,bertada01,
Del Beshore,beshode01,
Travis Best,besttr01,travis-best-1
Patrick Beverley,beverpa01,patrick-beverley-1
Sim Bhullar,bhullsi01,sim-bhullar-1
Wesley Bialosuknia,bialowe01,
Al Bianchi,biancal01,
Hank Biasatti,biasaha01,
Henry Bibby,bibbyhe01,henry-bibby-1
Mike Bibby,bibbymi01,mike-bibby-1
Ed Biedenbach,biedeed01,
Andris Biedrins,biedran01,
Don Bielke,bielkdo01,
Bob Bigelow,bigelbo01,
Lionel Billingy,billili01,
Chauncey Billups,billuch01,chauncey-billups-1
Dave Bing,bingda01,dave-bing-1
Joe Binion,biniojo01,joe-binion-1
Jerry Bird,birdje01,
Larry Bird,birdla01,larry-bird-1
Otis Birdsong,birdsot01,otis-birdsong-1
Gale Bishop,bishoga01,
Bismack Biyombo,biyombi01,
Nemanja Bjelica,bjeline01,
Uwe Blab,blabuw01,uwe-blab-1
Charlie Black,blackch01,
Norman Black,blackno01,norman-black-1
Tarik Black,blackta01,tarik-black-1
Tom Black,blackto01,
Rolando Blackman,blackro01,rolando-blackman-1
Alex Blackwell,blackal01,alex-blackwell-1
Cory Blackwell,blackco01,cory-blackwell-1
James Blackwell,blackja01,james-blackwell-1
Nate Blackwell,blackna01,nate-blackwell-1
DeJuan Blair,blairde01,dejuan-blair-1
Steve Blake,blakest01,steve-blake-1
Will Blalock,blalowi01,will-blalock-1
George Blaney,blanege01,
Lance Blanks,blankla01,lance-blanks-1
Ricky Blanton,blantri01,ricky-blanton-1
Andray Blatche,blatcan01,
Mookie Blaylock,blaylmo01,mookie-blaylock-1
Eric Bledsoe,bledser01,eric-bledsoe-1
Leon Blevins,blevile01,
John Block,blockjo01,
Mike Bloom,bloommi01,
Corie Blount,blounco01,
Mark Blount,blounma01,mark-blount-1
Vander Blue,blueva01,vander-blue-1
Ray Blume,blumera01,ray-blume-1
Nelson Bobb,bobbne01,
Tony Bobbitt,bobbito01,tony-bobbitt-1
Bucky Bockhorn,bockhbu01,
Tom Boerwinkle,boerwto01,
Keith Bogans,boganke01,keith-bogans-1
Bojan Bogdanovic,bogdabo02,
Muggsy Bogues,boguemu01,muggsy-bogues-1
Andrew Bogut,bogutan01,andrew-bogut-1
Etdrick Bohannon,bohanet01,
Manute Bol,bolma01,
Bill Bolger,bolgebi01,
Joel Bolomboy,bolomjo01,joel-bolomboy-1
Doug Bolstorff,bolstdo01,
George Bon Salle,bonsage01,
Phil Bond,bondph01,
Walter Bond,bondwa01,walter-bond-1
Dexter Boney,boneyde01,dexter-boney-1
Ron Bonham,bonharo01,
Anthony Bonner,bonnean01,anthony-bonner-1
Matt Bonner,bonnema01,matt-bonner-1
Butch Booker,bookebu01,
Devin Booker,bookede01,devin-booker-2
Melvin Booker,bookeme01,melvin-booker-1
Trevor Booker,booketr01,trevor-booker-1
Josh Boone,boonejo01,josh-boone-1
Ron Boone,boonero01,ron-boone-1
Calvin Booth,boothca01,calvin-booth-1
Keith Booth,boothke01,keith-booth-1
Bob Boozer,boozebo01,
Carlos Boozer,boozeca01,carlos-boozer-1
Curtis Borchardt,borchcu01,curtis-borchardt-1
Jake Bornheimer,bornhja01,
Lazaro Borrell,borrela01,
Ike Borsavage,borsaik01,
Vince Boryla,borylvi01,
Chris Bosh,boshch01,chris-bosh-1
Jim Bostic,bostiji01,
Lawrence Boston,bostola01,lawrence-boston-1
Tom Boswell,bosweto01,tom-boswell-1
Ruben Boumtje-Boumtje,boumtru01,ruben-boumtje-boumtje-1
Don Boven,bovendo01,
Cal Bowdler,bowdlca01,cal-bowdler-1
Bruce Bowen,bowenbr01,bruce-bowen-1
Ryan Bowen,bowenry01,ryan-bowen-1
Tommie Bowens,bowento01,
Anthony Bowie,bowiean01,anthony-bowie-1
Sam Bowie,bowiesa01,sam-bowie-1
Orbie Bowling,bowlior01,
Ira Bowman,bowmair01,ira-bowman-1
Nate Bowman,bowmana01,
Donnie Boyce,boycedo01,donnie-boyce-1
Dennis Boyd,boydde01,
Freddie Boyd,boydfr01,
Ken Boyd,boydke01,
Earl Boykins,boykiea01,earl-boykins-1
Harry Boykoff,boykoha01,
Winford Boynes,boynewi01,winford-boynes-1
Cedric Bozeman,bozemce01,cedric-bozeman-1
Steve Bracey,bracest01,
Craig Brackins,brackcr01,craig-brackins-1
Gary Bradds,braddga01,
Alex Bradley,bradlal02,alex-bradley-1
Alonzo Bradley,bradlal01,
Avery Bradley,bradlav01,avery-bradley-1
Bill Bradley,bradlbi02,
Bill Bradley,bradlbi01,
Charles Bradley,bradlch01,charles-bradley-1
Dudley Bradley,bradldu01,dudley-bradley-1
Jim Bradley,bradlji01,
Joe Bradley,bradljo01,
Michael Bradley,bradlmi01,michael-bradley-1
Shawn Bradley,bradlsh01,shawn-bradley-1
Mark Bradtke,bradtma01,
Marques Bragg,braggma01,marques-bragg-1
Torraye Braggs,braggto01,torraye-braggs-1
A.J. Bramlett,bramlaj01,aj-bramlett-1
Adrian Branch,brancad01,adrian-branch-1
Elton Brand,brandel01,elton-brand-1
Terrell Brandon,brandte01,terrell-brandon-1
Bob Brannum,brannbo01,
Brad Branson,bransbr01,brad-branson-1
Jesse Branson,bransje01,
Jim Brasco,brascji01,
Mike Bratz,bratzmi01,mike-bratz-1
Carl Braun,braunca01,
Tim Breaux,breauti01,tim-breaux-1
J.R. Bremer,bremejr01,jr-bremer-1
Pete Brennan,brennpe01,
Tom Brennan,brennto01,
Randy Breuer,breuera01,randy-breuer-1
Corey Brewer,breweco01,corey-brewer-1
Jamison Brewer,breweja01,jamison-brewer-1
Jim Brewer,breweji01,jim-brewer-1
Ron Brewer,brewero01,ron-brewer-1
Ronnie Brewer,brewero02,ronnie-brewer-1
Primoz Brezec,brezepr01,
Frankie Brian,brianfr01,frankie-brian-1
Frank Brickowski,brickfr01,frank-brickowski-1
Junior Bridgeman,bridgju01,junior-bridgeman-1
Bill Bridges,bridgbi01,bill-bridges-1
Al Brightman,brighal01,
Aud Brindley,brindau01,
John Brisker,briskjo01,
Allan Bristow,bristal01,allan-bristow-1
Tyrone Britt,brittty01,
Wayman Britt,brittwa01,
Mike Brittain,brittmi01,mike-brittain-1
Dave Britton,brittda01,dave-britton-1
Jon Brockman,brockjo01,jon-brockman-1
Jim Brogan,brogaji01,
Malcolm Brogdon,brogdma01,malcolm-brogdon-1
Gary Brokaw,brokaga01,
Price Brookfield,brookpr01,
Clarence Brookins,brookcl01,
Aaron Brooks,brookaa01,aaron-brooks-1
Kevin Brooks,brookke01,
MarShon Brooks,brookma01,marshon-brooks-1
Michael Brooks,brookmi01,
Scott Brooks,brooksc01,scott-brooks-1
Andre Brown,brownan01,andre-brown-1
Anthony Brown,brownan02,anthony-brown-5
Bob Brown,brownbo01,
Bobby Brown,brownbo02,bobby-brown-1
Chucky Brown,brownch01,chucky-brown-1
Damone Brown,brownda02,damone-brown-1
Darrell Brown,brownda01,
Dee Brown,brownde01,dee-brown-1
Dee Brown,brownde03,dee-brown-2
Derrick Brown,brownde04,derrick-brown-1
Devin Brown,brownde02,devin-brown-1
Ernest Brown,browner01,
Fred Brown,brownfr01,fred-brown-1
George Brown,brownge01,
Gerald Brown,brownge02,gerald-brown-2
Harold Brown,brownha01,
Jabari Brown,brownja01,jabari-brown-1
Jaylen Brown,brownja02,jaylen-brown-1
John Brown,brownjo01,john-brown-1
Kedrick Brown,brownke01,
Kwame Brown,brownkw01,
Larry Brown,brownla01,
Leon Brown,brownle01,
Lewis Brown,brownle02,lewis-brown-1
Lorenzo Brown,brownlo01,lorenzo-brown-1
Marcus Brown,brownma01,marcus-brown-1
Markel Brown,brownma02,markel-brown-1
Mike Brown,brownmi01,mike-brown-1
Myron Brown,brownmy01,
P.J. Brown,brownpj01,pj-brown-1
Randy Brown,brownra02,randy-brown-1
Raymond Brown,brownra01,raymond-brown-1
Rickey Brown,brownri01,rickey-brown-1
Roger Brown,brownro01,
Roger Brown,brownro02,roger-brown-1
Shannon Brown,brownsh01,shannon-brown-1
Stan Brown,brownst01,
Tierre Brown,brownti01,tierre-brown-1
Tony Brown,brownto01,tony-brown-1
Jim Browne,brownji01,
Stanley Brundy,brundst01,stanley-brundy-1
Brian Brunkhorst,brunkbr01,
George Bruns,brunsge01,
Rick Brunson,brunsri01,rick-brunson-1
Nicolas Brussino,brussni01,
Em Bryant,bryanem01,
Joe Bryant,bryanjo01,joe-bryant-1
Kobe Bryant,bryanko01,
Mark Bryant,bryanma01,mark-bryant-1
Wallace Bryant,bryanwa01,wallace-bryant-1
Torgeir Bryn,brynto01,
George Bucci,buccige01,
Joe Buckhalter,buckhjo01,
Steve Bucknall,bucknst01,steve-bucknall-1
Cleveland Buckner,buckncl01,
Greg Buckner,buckngr01,greg-buckner-1
Quinn Buckner,bucknqu01,quinn-buckner-1
Dave Budd,buddda01,
Chase Budinger,budinch01,chase-budinger-1
Walt Budko,budkowa01,
Jud Buechler,buechju01,jud-buechler-1
Rodney Buford,buforro01,rodney-buford-1
Matt Bullard,bullama01,matt-bullard-1
Reggie Bullock,bullore01,reggie-bullock-2
Larry Bunce,buncela01,
Greg Bunch,bunchgr01,
Dick Bunt,buntdi01,
Bill Buntin,buntibi01,
Bill Bunting,buntibi02,
Ticky Burden,burdeti01,
Pat Burke,burkepa01,pat-burke-1
Trey Burke,burketr01,trey-burke-1
Roger Burkman,burkmro01,roger-burkman-1
Alec Burks,burksal01,alec-burks-1
Antonio Burks,burksan01,antonio-burks-1
Kevin Burleson,burleke01,kevin-burleson-1
Tom Burleson,burleto01,tom-burleson-1
Jack Burmaster,burmaja01,
David Burns,burnsda01,david-burns-1
Evers Burns,burnsev01,evers-burns-1
Jim Burns,burnsji01,
Scott Burrell,burresc01,scott-burrell-1
Art Burris,burriar01,
Junior Burrough,burroju01,junior-burrough-1
Bob Burrow,burrobo01,
Ed Burton,burtoed01,
Willie Burton,burtowi01,willie-burton-1
Steve Burtt,burttst01,steve-burtt-1
Don Buse,busedo01,
David Bustion,bustida01,
Donnie Butcher,butchdo01,
Al Butler,butleal01,
Caron Butler,butleca01,caron-butler-1
Greg Butler,butlegr01,greg-butler-1
Jackie Butler,butleja01,
Jimmy Butler,butleji01,jimmy-butler-1
Mike Butler,butlemi01,
Mitchell Butler,butlemi02,mitchell-butler-1
Rasual Butler,butlera01,rasual-butler-1
Dwight Buycks,buyckdw01,dwight-buycks-1
Derrick Byars,byarsde01,derrick-byars-1
Andrew Bynum,bynuman01,
Will Bynum,bynumwi01,will-bynum-1
Walter Byrd,byrdwa01,
Marty Byrnes,byrnema01,marty-byrnes-1
Tommy Byrnes,byrneto01,
Michael Bytzura,bytzumi01,
Zarko Cabarkapa,cabarza01,
Barney Cable,cableba01,
Bruno Caboclo,cabocbr01,
Jason Caffey,caffeja01,jason-caffey-1
Michael Cage,cagemi01,michael-cage-1
Gerry Calabrese,calabge01,
Nick Calathes,calatni01,nick-calathes-1
Jose Calderon,caldejo01,jose-manuel-calderon-1
Adrian Caldwell,caldwad01,adrian-caldwell-1
Jim Caldwell,caldwji01,
Joe Caldwell,caldwjo01,
Kentavious Caldwell-Pope,caldwke01,kentavious-caldwell-pope-1
Bill Calhoun,calhobi01,
Corky Calhoun,calhoco01,corky-calhoun-1
Demetrius Calip,calipde01,demetrius-calip-1
Tom Callahan,callato01,
Rick Calloway,callori01,rick-calloway-1
Ernie Calverley,calveer01,
Mack Calvin,calvima01,mack-calvin-1
Dexter Cambridge,cambrde01,dexter-cambridge-1
Marcus Camby,cambyma01,marcus-camby-1
Elden Campbell,campbel01,elden-campbell-1
Tony Campbell,campbto01,tony-campbell-1
Isaiah Canaan,canaais01,isaiah-canaan-1
Larry Cannon,cannola01,
Clint Capela,capelca01,
Derrick Caracter,caracde01,derrick-caracter-1
Frank Card,cardfr01,
Brian Cardinal,cardibr01,brian-cardinal-1
Howie Carl,carlho01,
Chet Carlisle,carlich01,
Geno Carlisle,carlige01,geno-carlisle-1
Rick Carlisle,carliri01,rick-carlisle-1
Don Carlos,carlodo01,
Al Carlson,carlsal01,
Don Carlson,carlsdo01,
Bob Carney,carnebo01,
Rodney Carney,carnero01,rodney-carney-1
Bob Carpenter,carpebo01,
Antoine Carr,carran01,antoine-carr-1
Austin Carr,carrau01,austin-carr-1
Chris Carr,carrch01,chris-carr-1
Cory Carr,carrco01,cory-carr-1
Kenny Carr,carrke01,kenny-carr-1
M.L. Carr,carrml01,
Darel Carrier,carrida01,
Bob Carrington,carribo01,bob-carrington-1
DeMarre Carroll,carrode01,demarre-carroll-1
Joe Barry Carroll,carrojo01,joe-barry-carroll-1
Matt Carroll,carroma01,matt-carroll-1
Jimmy Carruth,carruji01,jimmy-carruth-1
Anthony Carter,cartean01,anthony-carter-1
Butch Carter,cartebu01,butch-carter-1
Fred Carter,cartefr01,
George Carter,cartege01,
Howard Carter,carteho01,howard-carter-1
Jake Carter,carteja01,
Maurice Carter,cartema01,maurice-carter-1
Reggie Carter,cartere01,reggie-carter-1
Ron Carter,cartero01,ron-carter-1
Vince Carter,cartevi01,vince-carter-1
Michael Carter-Williams,cartemi01,michael-carter-williams-1
Bill Cartwright,cartwbi01,bill-cartwright-1
Jay Carty,cartyja01,
Cornelius Cash,cashco01,
Sam Cash,cashsa01,
Sam Cassell,cassesa01,sam-cassell-1
Omri Casspi,casspom01,
Harvey Catchings,catchha01,
Terry Catledge,catlete01,terry-catledge-1
Sid Catlett,catlesi01,
Kelvin Cato,catoke01,kelvin-cato-1
Bobby Cattage,cattabo01,bobby-cattage-1
Willie Cauley-Stein,caulewi01,willie-cauley-stein-1
Duane Causwell,causwdu01,duane-causwell-1
Ron Cavenall,cavenro01,ron-cavenall-1
Cedric Ceballos,cebalce01,cedric-ceballos-1
John Celestand,celesjo01,john-celestand-1
Al Cervi,cervial01,
Lionel Chalmers,chalmli01,lionel-chalmers-1
Mario Chalmers,chalmma01,mario-chalmers-1
Bill Chamberlain,chambbi01,
Wilt Chamberlain,chambwi01,wilt-chamberlain-1
Jerry Chambers,chambje01,
Tom Chambers,chambto01,tom-chambers-1
Mike Champion,champmi01,mike-champion-1
Tyson Chandler,chandty01,
Wilson Chandler,chandwi01,wilson-chandler-1
Don Chaney,chanedo01,don-chaney-1
John Chaney,chanejo01,
Rex Chapman,chapmre01,rex-chapman-1
Wayne Chapman,chapmwa01,
Len Chappell,chapple01,
Ken Charles,charlke01,
Lorenzo Charles,charllo01,lorenzo-charles-1
Calbert Cheaney,cheanca01,calbert-cheaney-1
Maurice Cheeks,cheekma01,maurice-cheeks-1
Phil Chenier,cheniph01,phil-chenier-1
Will Cherry,cherrwi01,will-cherry-1
Derrick Chievous,chievde01,derrick-chievous-1
Pete Chilcutt,chilcpe01,pete-chilcutt-1
Josh Childress,childjo01,josh-childress-1
Randolph Childress,childra01,randolph-childress-1
Chris Childs,childch01,chris-childs-1
Leroy Chollet,chollle01,
Jim Chones,choneji01,jim-chones-1
Marquese Chriss,chrisma01,marquese-chriss-1
Fred Christ,chrisfr01,
Cal Christensen,chrisca01,
Bob Christian,chrisbo01,
Doug Christie,chrisdo01,doug-christie-1
Dionte Christmas,chrisdi01,dionte-christmas-1
Rakeem Christmas,chrisra01,rakeem-christmas-1
Semaj Christon,chrisse01,semaj-christon-1
Patrick Christopher,chrispa01,patrick-christopher-1
Stephen Chubin,chubist01,
Robert Churchwell,churcro01,robert-churchwell-1
Archie Clark,clarkar01,
Carlos Clark,clarkca01,carlos-clark-1
Earl Clark,clarkea01,earl-clark-1
Ian Clark,clarkia01,ian-clark-1
Keon Clark,clarkke01,keon-clark-1
Richard Clark,clarkri01,
Coty Clarke,clarkco01,coty-clarke-1
Jordan Clarkson,clarkjo01,jordan-clarkson-1
Victor Claver,clavevi01,
John Clawson,clawsjo01,
Charles Claxton,claxtch01,charles-claxton-1
Speedy Claxton,claxtsp01,speedy-claxton-1
Jim Cleamons,cleamji01,jim-cleamons-1
Mateen Cleaves,cleavma01,mateen-cleaves-1
Barry Clemens,clemeba01,
Nat Clifton,cliftna01,
Bill Closs,clossbi01,
Keith Closs,closske01,keith-closs-1
Paul Cloyd,cloydpa01,
Bob Cluggish,cluggbo01,
